SVM,KNN,RF,Review
yes,yes,yes,"With this phone I have started to realize how good and useful the recent mobile devices have become. I'd say this phone is perfect, but it's gpu is not powerful enougth to run modern games and VR apps. Nitpick: Can't find a good keyboard app for it."
yes,yes,yes,"I am a technology savvy girl i was using Apple i phone when i finally thought to move own to new phone, After searching online and reading reviews i decided to go for Samsung Note 4. The things which were on my check list were, 1. I needed a phone which had 4G and 3G Data enabled. 2."
yes,yes,yes,It is a quiet great smartphone in the market.This have a good quality of screen resolution .The video quality is better than other phones.But it's screen size is quite larger than other and difficult to carry.But the most exciting feature of the phone is it's battery.The long life battery life make...
yes,yes,yes,"One of the best phone I ever used! I come from S5 and I did not expect to be a big difference but there is: A BIG SURPRISE. Gorgeous 5.7' QHD screen, premium design with metal frame, 16 MPx OIS camera with 4K video recording, really fast charging, huge improvement in multitasking with 5.1.1 update,..."
yes,yes,yes,"Having purchased this phone straight after having the Samsung Note 2, I couldn't be happier with my decision. Design/Durability The feel of the phone is great and surprisingly light compared to other phones of the same screen size (5.5inch)."
yes,yes,yes,"It is a superphone that made by Samsung , it feels u that u had a real bar that is a absolutely can do great things specially when u have the ""H"" version, that is a octa core chip , with great battary life, n amzing screen depth"
yes,yes,yes,Every thing is absolutely superb except battery life.
yes,yes,yes,"In my opinion Samsung galaxy note 4 mobile phone is a very good phone. I am using this phone since 3 months, but no issues. I have dropped it multiple times, and it does not crack, break or even leave a scratch. the speakers on it, they are very loud, you can hear it all the way through your home."
no,yes,no,"The phones display is literally the only good thing about this phone. It is incredibly slow because of all the bloat wear. Touchwiz is a disaster! Save yourself do not buy this phone, you'll sell it after three weeks like I did."
yes,yes,yes,"Full review Disclaimer Yes this makes calls, it is a smartphone tablet hybrid. Look and Feel, Durability etc. Handset may be too large for some users due to the tablet crossover nature of the device."
no,no,no,"This is the second Samsung, first note 2 then this one. I don't like to change the brand and familiar with.... I bought it due to heating problem in my old phone. It was not bad after long time usage....."
no,no,no,"I suddenly have it for almost 3 months, and it's awful. Battery works for several hours. Photos looks like the're sharpen too much by program, so they're useless. Internet applications like Chrome or build-in one are very buggy. UI is very laggy. I definitely recover from buiyng it."
yes,no,yes,"I was totaly satisfied with my Note 4 until I upgraded it to the latest software version. (5.0.1) Since then it is lagging sometimes, and randomly losts the internet connection. If you buy one, I recommend to wait for the next version before you upgrade it."
